universidad,universidad_nombre,ccaa,tipo_fuente,codigo,nombre,acronimo,responsable,unidad,area,lineas,n_lineas,calidad_lineas,palabras_clave,descripcion,servicios,equipamiento,oferta_tecnologica,url,web,tipo_registro,extras,fichero_origen
UAL,Universidad de Almería,Andalucía,extraido,FQM211,"Categorías, Computación Y Teoría De Anillos",,"Torrecillas Jover, Blas",Matemáticas,"Física, química y matemáticas",Álgebra Homológica | Criptografía | Geometría No Conmutativa | Grupos Cuánticos | Teoría De Anillos. - Anillos Graduados. - Aplicaciones De Las Categorías A La Computación. - Criptografía. - Coálgebras. - Álgebras De Hopf. - Teoría De Códigos | Teoría De Códigos,6,declaradas,Álgebras De Hopf | Anillo Graduado | Anillos | Anillos De Cocientes | Categorías | Cubiertas | Envolventes | Grothendieck | Haces | Módulos | Módulos Planos | Módulos Proyectivos | Quiver | Representaciones,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/FQM/FQM211,,grupo,"{""n_miembros"": ""11"", ""telefono"": ""950015029""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,SEJ056,Ciencia Y Derecho Público En El Siglo Xxi,,"Perez Galvez, Juan Francisco",Derecho,"Ciencias sociales, económicas y jurídicas",Litoral Y Costas | Ordenación Del Territorio Y Urbanismo | Régimen Jurídico De Los Servicios Públicos | Régimen Jurídico Del Empleado Público | Régimen Jurídico Del Patrimonio De Los Poderes Públicos,5,declaradas,Bienes Públicos | Empleo Público | Litoral Y Costas | Ordenacion Del Territorio Y Urbanismo | Servicio Público,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/SEJ/SEJ056,,grupo,"{""n_miembros"": ""5"", ""telefono"": ""950015702""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM1022,"Ciencia, Consciencia Y Desarrollo",,"Iniesta Bonillo, Maria Angeles",Economía y Empresa,Humanidades,"Ciencia Y Espiritualidad: Conexiones Ontológicas Y Epistemológicas | Comportamiento Del Consumidor: Consumo Consciente Y Sostenible | Consciencia E Investigación Empírica | Corporeidad Y Desarrollo Personal Y Social | Desarrollo De La Consciencia | Desarrollo Transpersonal Y Autoconocimiento | Educación Consciente | Educación En Valores Y Diálogo Intercultural | El Profesor Reflexivo | Emprendimiento Sostenible | Estudios Interdisciplinares De Género E Investigación Feminista | Filosofía Perenne Y No-Dualidad | Investigación En El Aula | Investigación En La Acción | Lingüistica Aplicada | Marketing Digital | Metodología De La Enseñanza | Mindfulness Y Autoindagación | Motivación En El Aula | Sociedad, Mente Y Cultura Del Despertar | Tecnologías Y Metodologías Docentes En El Marco De La Educación Consciente",21,declaradas,Autoindagación | Comportamiento Del Consumidor | Consciencia | Desarrollo Sostenible | Desarrollo Transpersonal | Educación Consciente | Educación Para El Desarrollo | Metodología De La Enseñanza | Sostenibilidad,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM1022,http://www.ual.es/,grupo,"{""n_miembros"": ""9"", ""telefono"": ""950214008""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,CTS451,Ciencias De La Salud,,"Granero Molina, Jose","Enfermería, Fisioterapia y Medicina",Ciencias y técnicas de la salud,"Análisis Ético Y Epistemológico En Ciencias De La Salud | Aspectos Clinicos De La Enfermedad Crónica | Coloproctología | Comunicación En Ciencias De La Salud | Cuidados Al Final De La Vida | Enfermería Clínica | Enseñanza- Aprendizaje En Ciencias De La Salud | Inmigración Y Salud: Vulnerabilidad, Cuidados Y Calidad De Vida | Innovación En Fisioterapia | Intervención Comunitaria Y Metodología Del Cuidado | Investigación En Sexología Clínica Y Educación Sexual",11,declaradas,"Comunicación Y Salud | Cuidados De Enfermería | Cuidados Paliativos | Derecho A Morir | Electrofisiología, Fisiología, Diabetes, Obesidad Y Nutrición | Enfermería Comunitaria | Ética Y Bioetica | Fístula Perianal | Gastrectomía Vertical | Laparoscopia | Modalidades De Fisioterapia | Prácticas Clínicas | Simulación Clínica",,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/CTS/CTS451,http://cvirtual.ual.es/webual/jsp/investigacion/nuevo/pEquipoHumano.jsp?id_grupo=CTS451&idioma=es,grupo,"{""n_miembros"": ""15"", ""telefono"": ""950014589""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,SEJ048,"Ciudades Antiguas, Turismo Y Sostenibilidad",,"Rodriguez Lopez, Maria Rosalia",Derecho,"Ciencias sociales, económicas y jurídicas",,0,vacias,,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/SEJ/SEJ048,,grupo,"{""n_miembros"": ""3"", ""telefono"": ""950/015147""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,SEJ323,Comparabilidad Y Analisis De La Informacion Economico-Contable,,"Rojo Ramírez, Alfonso A.",,"Ciencias sociales, económicas y jurídicas",Análisis De La Empresa Y Creación De Valor | Comparabilidad Y Análisis De La Información Contable | Efectos Económicos De Las Normas Contables | Estudios Y Análisis De Sectores | Innovación Tecnológica Y Eficiencia Empresarial | Valor Socioemocional En La Empresa Familiar | Valoración De Empresas,7,declaradas,Analisis Contable | Análisis De Inversiones | Análisis De La Gestión | Analisis Del Valor | Análisis Ecoconómico-Financiero | Análisis Fundamental | Economía De La Energía Y Del Medio Ambiente | Gestión Basada En El Valor | Informacion Contable | Informacion Financiera | Metodos Valoracion | Riqueza Socioemocional | Valoración Contable | Valoracion De Empresas,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/SEJ/SEJ323,,grupo,"{""n_miembros"": ""7"", ""telefono"": ""950015513""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,TIC221,"Computación, Optimización Y Sensorización En Ingeniería Y Energía",,"Gil Montoya, Consolación",Informática,Tecnologías de la información y comunicaciones,"Ahorro Y Eficiencia Energética | Álgebra Geométrica Aplicada A Problemas De Ingeniería | Educación Consciente: Metodologías Activas, Tics Y Mindfulness | Energías Renovables | Impacto Social Energético | Optimización Computacional Y Aplicaciones Al Mundo Real | Sensorización, Iot, Industria 4.0, Smart Cities | Técnicas De Optimización Mulitobjetivo Y Paralelización De Algoritmos",8,declaradas,Ahorro Energético | Metodologías Activas Y Mindfulness | Optimización Energética | Optimización Industrial | Optimización Mediante Colonias De Hormigas | Optimización Multiobjetivo | Paralelismo | Seguridad Informatica | Sensorización | Sostenibilidad Energética,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/TIC/TIC221,pareto.ual.es,grupo,"{""n_miembros"": ""8"", ""telefono"": ""950015710""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM628,Contextos En El Aprendizaje Escolar En Educ. Fisica Y Habitos De Salud,,"Granero Gallegos, Antonio",Educación,Humanidades,"Actividad Física Y Salud ( Hábitos, Valoración De La Condición Física-Salud, Programas De Actividades, Etc.). - Aprendizaje Escolar Y Extraescolar En Educación Física. Tiempo Y Espacios En El Aprendizaje De La Educación Física. - Procesos Cognitivos | Análisis Cinemático Y Antropométrico En Deportistas | Análisis Electromiográfico Y Cinemático En Ejercicios De Acondicionamiento Muscular | Análisis Y Evaluación De La Actitud Postural Y Ergonomía En Deportistas Y En El Ámbito Laboral | Imagen Corporal Y Actividad Física | Modulación Neurológica Para La Optimización Del Entrenamiento Y La Recuperación | Motivación En El Ejercicio Y La Actividad Física | Narrativa E Identidades Deportivas | Posmodernidad Y Actividad Física | Programas Educativos Para La Mejora De La Calidad De Vida En Personas Con Enfermedades Crónicas No Transmisibles Atendiendo A Una Perspectiva De Género",10,declaradas,Actividad Fisica Y Salud | Aprendizaje Escolar,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM628,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM628,grupo,"{""n_miembros"": ""10"", ""telefono"": ""+34950214790""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,HUM944,"Cultura Escrita, Oral Y Mediática",,"Quiles Cabrera, Mª Del Carmen",Educación,Humanidades,"Alfabetización Medioambiental/ Estudios De Ecocrítica | Animación/ Promoción De La Lectura | Cartografías Lectoras | Didáctica Del Discurso Oral | Lectura Y Formación Lectora | Lengua Escrita Y Su Didáctica | Literatura Infantil Y Juvenil | Literatura Y Ods | Talleres, Difusión Cultural Y Bibliotecas | Tic, Mundo Digital, Lengua, Literatura Y Escuela",10,declaradas,Alfabetización Medioambiental; Estudios De Ecocrítica; Patrimonio Cultural | Escritura; Producción Oral Y Escrita: Discurso Oral: | Lectura; Comprensión Lectora; Cartografías De Lectura; Literatura Infantil Y Juvenil:,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/HUM/HUM944,www.grupoceom.es,grupo,"{""n_miembros"": ""12"", ""telefono"": ""950015956""}",UAL_groups.csv
UAL,Universidad de Almería,Andalucía,extraido,SEJ485,Derecho Del Trabajo Ante El Reto De Un Mundo Globalizado,,"Soler Arrebola, Jose Antonio",Derecho,"Ciencias sociales, económicas y jurídicas",Derecho A La Negociación Colectiva. Trades. Acuerdos Marco Internacionales. Nuevas Realidades Laborales. No Discriminación. Conflictos Laborales. Derecho E Inmigración,1,declaradas,,,,,,https://www.ual.es/investigacion/investiga/grupos/area/grupo/SEJ/SEJ485,,grupo,"{""n_miembros"": ""6"", ""telefono"": ""950015163""}",UAL_groups.csv
